strains,AMP,AUG,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,KAN,NAL,STR,TET,TIO
SRR2566954,2,1,0.25,4,4,0.03,0.12,32,2,0.5,8,4,#N/A,4,1
SRR3330379,32,32,16,#N/A,4,0.01,0.12,32,32,0.5,#N/A,2,#N/A,4,8
SRR3670105,1,1,0.25,8,8,0.015,0.125,64,4,0.5,#N/A,4,16,32,1
SRR3214100,32,8,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,4,#N/A,32,1
SRR4280632,32,32,16,4,32,0.03,4,256,32,1,#N/A,4,64,32,8
SRR3665018,1,1,0.25,4,8,0.015,0.12,256,4,16,8,4,64,4,1
SRR1574288,1,1,8,#N/A,4,0.12,0.12,32,1,0.25,#N/A,32,64,32,1
SRR1812788,32,16,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,#N/A,32,2
SRR2188125,32,32,32,4,32,0.015,0.25,256,32,0.5,#N/A,4,64,32,8
SRR3214111,1,1,0.25,#N/A,2,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR3295851,32,32,32,4,16,0.015,0.125,128,32,1,#N/A,4,8,32,8
SRR1556064,1,1,0.25,#N/A,8,0.01,0.12,16,2,0.5,#N/A,4,#N/A,4,0.5
SRR3180044,1,1,0.25,2,8,0.015,0.125,32,4,0.5,#N/A,2,8,32,1
SRR3665111,1,4,0.25,4,4,0.015,0.12,256,2,16,16,4,64,32,1
SRR3056921,1,1,0.25,4,8,0.03,0.125,64,4,0.5,#N/A,4,8,32,1
SRR3184123,32,4,0.25,2,8,0.015,0.125,64,4,0.5,#N/A,2,64,32,1
SRR3295862,1,1,0.25,4,8,0.015,0.125,64,4,1,#N/A,2,8,32,1
SRR2993932,1,1,0.25,#N/A,8,0.01,0.25,256,2,16,#N/A,2,64,4,1
SRR1974001,32,16,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,#N/A,4,1
SRR2567177,1,1,0.25,2,4,0.015,0.12,16,4,0.5,8,2,#N/A,4,1
SRR2407633,1,1,0.25,8,8,0.015,0.12,32,4,0.5,#N/A,2,64,32,1
SRR2566930,1,1,0.25,4,8,0.015,0.12,32,4,0.5,8,4,#N/A,4,1
SRR2407578,1,1,0.25,8,8,0.03,0.12,64,8,0.25,#N/A,2,8,4,1
SRR2962357,1,1,0.25,#N/A,8,0.06,0.12,256,4,16,#N/A,4,64,4,1
SRR3151795,32,32,8,#N/A,4,0.01,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR3098270,32,4,0.25,16,16,1,0.25,256,4,8,#N/A,32,32,32,2
SRR3295794,32,16,0.25,4,32,0.015,0.25,256,8,1,#N/A,2,64,32,1
SRR3932936,1,1,0.25,4,8,0.015,0.12,16,4,0.5,#N/A,2,16,4,1
SRR3295669,1,1,0.25,4,8,0.015,0.125,32,4,0.5,#N/A,4,8,32,1
SRR3665006,32,32,16,4,8,0.015,0.12,256,32,0.25,8,4,#N/A,32,8
SRR4019209,1,1,0.25,#N/A,4,0.01,0.12,256,4,0.25,#N/A,4,#N/A,32,1
SRR3664618,32,32,32,4,4,0.015,0.12,16,32,0.5,8,2,#N/A,4,8
SRR1982132,32,32,32,#N/A,8,0.03,0.12,256,32,0.5,#N/A,4,64,32,8
SRR2566995,1,1,0.25,4,8,0.03,0.12,16,4,0.25,8,4,#N/A,4,1
SRR3664745,1,1,0.25,4,4,0.015,0.12,32,2,0.5,8,4,64,32,0.5
SRR1998972,32,16,0.25,#N/A,8,0.01,0.25,32,4,16,#N/A,4,#N/A,4,1
SRR1637070,32,32,0.25,#N/A,8,0.01,0.12,#N/A,4,16,#N/A,4,64,32,1
SRR1713634,2,1,0.25,#N/A,4,0.01,0.12,#N/A,2,0.25,#N/A,4,#N/A,4,0.5
SRR2407617,2,1,0.25,4,8,0.03,0.12,64,4,0.5,#N/A,4,4,4,1
SRR3289784,32,8,0.25,#N/A,8,0.01,0.12,64,2,16,#N/A,4,64,32,2
SRR3665014,1,1,0.25,4,8,0.015,0.12,64,2,0.5,8,4,#N/A,4,1
SRR2103410,32,32,16,#N/A,8,0.01,0.12,64,32,0.25,#N/A,4,#N/A,4,8
SRR3136897,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,4,#N/A,4,1
SRR3082389,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,8,1
SRR4280607,1,1,0.25,2,4,0.015,0.12,256,2,0.25,#N/A,2,4,32,0.5
SRR1556107,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,4,#N/A,4,1
SRR2096591,1,1,0.25,#N/A,4,0.01,0.25,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR1783166,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,4,0.5
SRR2648194,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR3765054,2,2,0.25,#N/A,8,0.01,0.12,256,8,4,#N/A,4,#N/A,4,2
SRR3932995,1,1,0.25,2,8,0.015,0.12,16,4,16,#N/A,2,64,32,1
SRR2973706,32,16,0.25,2,32,0.015,0.25,256,2,0.5,#N/A,4,64,32,1
SRR3210382,1,1,0.25,#N/A,8,0.01,0.12,64,2,1,#N/A,4,#N/A,4,0.5
SRR2047289,32,32,16,#N/A,32,0.01,0.12,256,32,16,#N/A,4,64,32,8
SRR2999648,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,#N/A,32,1
SRR2407632,1,1,0.25,4,8,0.03,0.12,256,2,16,#N/A,2,64,4,0.5
SRR2567028,32,8,0.25,4,4,0.015,0.12,256,4,16,8,4,64,4,1
SRR3664760,32,32,8,4,8,0.015,0.12,256,32,0.5,8,4,#N/A,32,8
SRR1791274,1,1,0.25,#N/A,8,0.01,0.12,64,1,0.25,#N/A,4,#N/A,4,0.5
SRR3185044,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR3295706,32,8,16,4,8,0.25,4,256,4,0.5,#N/A,16,64,32,4
SRR3330219,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR1752811,2,1,0.25,#N/A,8,0.03,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3098266,1,1,0.25,2,8,0.015,0.125,64,4,0.5,#N/A,2,8,32,1
SRR1773656,1,1,0.25,#N/A,8,0.03,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR2583954,1,1,0.25,#N/A,8,0.01,0.25,256,8,16,#N/A,4,64,32,1
SRR1299361,32,32,32,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR2567163,32,8,0.25,4,8,0.015,0.12,256,2,0.5,8,4,64,32,1
SRR1203044,4,2,0.25,#N/A,16,0.06,0.12,#N/A,8,0.5,#N/A,16,#N/A,4,1
SRR2566907,1,1,0.25,4,4,0.03,0.12,32,2,0.5,8,4,#N/A,4,1
SRR3933024,1,1,0.25,4,8,0.015,0.12,32,4,0.25,#N/A,4,8,4,1
SRR3295696,1,1,0.25,8,8,0.03,0.125,64,4,0.5,#N/A,4,8,32,1
SRR1181525,2,2,0.25,#N/A,8,0.01,0.12,#N/A,2,0.25,#N/A,4,#N/A,4,0.5
SRR3295639,32,4,0.25,4,8,0.015,0.125,32,4,0.5,#N/A,2,64,32,1
SRR1553817,32,16,0.25,#N/A,8,0.01,0.25,256,4,8,#N/A,4,#N/A,32,1
SRR1582188,2,1,0.25,#N/A,8,0.01,0.12,#N/A,4,0.5,#N/A,4,#N/A,4,0.5
SRR3173556,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,1
SRR2054606,1,1,0.25,#N/A,8,0.01,0.12,16,2,0.5,#N/A,4,#N/A,4,1
SRR3151800,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,2,#N/A,4,1
SRR1822313,32,32,16,#N/A,8,0.03,0.12,32,32,1,#N/A,4,#N/A,4,8
SRR2407775,32,32,8,2,4,0.015,0.12,256,16,0.25,#N/A,4,4,32,8
SRR1619529,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR1363277,1,1,0.25,#N/A,8,0.01,0.12,#N/A,4,0.25,#N/A,4,#N/A,4,0.5
SRR1973696,2,2,0.25,#N/A,8,0.03,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR2407611,32,16,0.25,4,4,0.03,0.12,32,2,1,#N/A,4,64,32,1
SRR4280633,1,1,0.25,2,4,0.015,0.12,16,2,0.25,#N/A,2,64,32,0.5
SRR1573577,32,32,32,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR4019219,1,1,0.25,#N/A,8,0.03,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR1544295,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,16,1
SRR3295884,2,1,0.25,4,8,0.015,0.125,32,2,0.5,#N/A,4,16,32,0.5
SRR2143475,1,1,0.25,#N/A,8,0.01,0.25,256,2,0.5,#N/A,4,#N/A,32,1
SRR3038498,1,1,0.25,4,8,0.015,0.125,32,8,0.5,#N/A,4,16,32,1
SRR2407564,1,1,0.25,2,4,0.015,0.12,32,2,0.5,#N/A,2,64,32,1
SRR2566872,32,8,0.25,4,8,0.015,0.12,64,2,0.5,8,2,#N/A,32,1
SRR2533484,4,2,0.25,#N/A,16,0.06,0.12,128,16,0.5,#N/A,8,#N/A,4,2
SRR1923645,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,#N/A,4,0.5
SRR3933048,2,2,0.25,2,8,0.015,0.12,32,4,1,#N/A,4,64,32,0.5
SRR3219178,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,#N/A,32,0.5
SRR3091333,1,1,0.25,#N/A,4,0.01,0.12,32,1,0.25,#N/A,2,#N/A,4,0.5
SRR3295583,2,2,0.25,4,4,0.015,0.12,32,4,1,#N/A,4,16,4,1
SRR3664652,1,1,0.25,4,8,0.015,0.12,32,2,0.5,8,4,#N/A,4,1
SRR1637052,2,2,0.25,#N/A,8,0.01,0.12,#N/A,8,2,#N/A,4,64,4,1
SRR3664925,1,1,0.25,4,8,0.015,0.12,32,2,1,8,4,#N/A,4,1
SRR3932960,32,8,0.25,4,8,0.03,0.12,32,4,0.25,#N/A,4,4,8,1
SRR3664684,1,1,0.25,4,8,0.015,0.12,16,2,0.5,8,4,#N/A,4,0.5
SRR1300595,32,32,0.25,#N/A,8,0.01,0.5,256,4,16,#N/A,4,64,4,1
SRR1812858,32,8,0.25,#N/A,8,0.03,0.12,32,2,0.5,#N/A,4,#N/A,32,1
SRR1257301,32,32,0.25,#N/A,8,0.01,0.25,#N/A,16,16,#N/A,4,64,4,2
SRR1637068,32,16,0.25,#N/A,4,0.01,0.12,#N/A,2,16,#N/A,4,64,32,0.5
SRR3665261,1,1,0.25,2,8,0.015,0.12,16,2,0.25,8,4,#N/A,4,0.5
SRR2566966,32,8,0.25,4,8,0.015,0.12,32,2,16,16,4,#N/A,32,1
SRR2039148,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,64,32,0.5
SRR3210389,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR1562608,32,32,32,#N/A,8,0.01,0.12,64,32,1,#N/A,8,#N/A,32,8
SRR3664708,1,1,0.25,4,4,0.015,0.12,16,2,0.25,8,2,#N/A,4,0.5
SRR1299357,1,2,0.25,#N/A,8,0.01,0.12,32,4,0.25,#N/A,4,#N/A,32,1
SRR2407754,1,1,0.25,4,8,0.03,0.12,256,8,1,#N/A,4,64,32,1
SRR1583145,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,4,0.5
SRR3664639,1,1,0.25,4,4,0.015,0.12,32,2,0.5,8,2,#N/A,32,0.5
SRR1300670,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,2,#N/A,32,0.5
SRR2566870,2,1,0.25,2,8,0.015,0.12,32,2,1,8,4,64,4,1
SRR3116168,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,4,64,32,0.5
SRR2669157,32,8,0.25,#N/A,8,0.01,0.25,256,2,0.5,#N/A,4,#N/A,32,1
SRR2638014,1,1,0.25,8,8,0.015,0.125,256,2,0.5,#N/A,4,64,32,1
SRR2567039,1,1,0.25,1,2,0.015,0.12,16,4,0.5,8,2,#N/A,4,0.5
SRR3665135,32,32,8,4,8,0.015,0.12,256,16,0.25,8,4,#N/A,32,8
SRR1272495,2,1,4,#N/A,8,0.01,0.12,#N/A,2,0.5,#N/A,4,#N/A,4,1
SRR3295809,2,1,0.25,8,8,0.015,0.125,16,2,1,#N/A,4,4,32,0.5
SRR3665295,1,1,0.25,4,8,0.015,0.12,16,2,0.5,8,2,#N/A,4,0.5
SRR2567125,32,32,32,4,32,0.03,0.25,256,32,16,64,4,#N/A,32,8
SRR2567119,2,2,0.25,8,8,0.03,0.12,64,4,0.5,8,4,64,32,1
SRR2071016,32,16,0.25,#N/A,8,0.01,0.25,256,2,16,#N/A,2,#N/A,32,1
SRR3182545,32,32,32,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR3765176,32,32,8,#N/A,4,0.06,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR3664800,1,1,0.25,4,8,0.015,0.12,16,2,0.5,8,4,#N/A,4,0.5
SRR1752810,1,1,0.25,#N/A,8,0.01,0.12,#N/A,4,0.25,#N/A,4,#N/A,32,0.5
SRR3295749,32,8,0.25,2,8,0.015,0.125,64,4,16,#N/A,2,64,32,1
SRR1562601,32,32,32,#N/A,8,0.01,0.12,64,32,0.25,#N/A,4,#N/A,32,8
SRR1528524,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,8,64,32,0.5
SRR3664978,32,8,0.25,4,4,0.015,0.12,64,2,16,8,4,64,32,1
SRR1299292,1,1,0.25,#N/A,8,0.01,0.12,#N/A,4,0.25,#N/A,4,#N/A,4,1
SRR1752833,32,1,0.25,#N/A,8,0.5,0.5,#N/A,4,2,#N/A,32,64,4,1
SRR3932955,1,1,0.25,4,8,0.015,0.12,32,4,0.5,#N/A,4,8,4,1
SRR2724063,32,32,16,#N/A,8,0.01,0.12,32,32,0.5,#N/A,4,#N/A,4,8
SRR2407595,1,1,0.25,8,8,0.015,0.12,16,2,1,#N/A,2,16,4,1
SRR1299315,32,8,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,64,32,1
SRR2989558,32,32,16,2,2,0.015,0.125,64,32,0.5,#N/A,2,8,4,8
SRR2567015,32,32,8,4,8,0.015,0.12,256,16,0.25,8,4,#N/A,32,8
SRR2567209,1,1,0.25,2,4,0.015,0.12,32,2,0.5,8,2,#N/A,4,0.5
SRR1299219,1,1,0.25,#N/A,8,0.03,0.12,#N/A,2,0.5,#N/A,4,#N/A,4,1
SRR2407656,32,32,16,8,32,0.015,0.12,256,32,16,#N/A,2,64,32,8
SRR2917941,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,8,0.5
SRR1778035,2,1,0.25,#N/A,8,0.01,0.12,#N/A,2,1,#N/A,4,#N/A,4,0.5
SRR3122764,1,2,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,#N/A,4,1
SRR3173703,32,8,0.25,#N/A,8,0.01,0.12,64,2,1,#N/A,4,#N/A,32,1
SRR1637048,32,16,0.25,#N/A,8,0.01,0.12,#N/A,4,8,#N/A,4,#N/A,4,1
SRR2533546,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR3664836,32,32,8,2,8,0.015,0.25,256,32,0.5,8,4,#N/A,32,8
SRR3932903,1,1,0.25,4,8,0.015,0.12,64,4,0.5,#N/A,4,8,4,1
SRR2064119,1,1,0.25,#N/A,4,0.03,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR1272854,32,32,16,#N/A,4,0.01,0.12,#N/A,16,0.25,#N/A,4,64,32,8
SRR3665166,32,8,0.25,4,4,0.015,0.12,32,4,16,8,2,64,32,1
SRR2143480,1,2,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,2,#N/A,32,1
SRR1609694,32,16,0.25,#N/A,8,0.01,0.12,256,2,8,#N/A,4,#N/A,4,1
SRR3399999,1,1,0.25,#N/A,8,0.01,0.12,64,4,1,#N/A,4,#N/A,4,1
SRR3184197,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,64,32,0.5
SRR3664762,2,1,0.25,4,8,0.015,0.12,256,4,0.5,8,4,#N/A,32,1
SRR2567078,32,8,0.25,4,4,0.015,0.12,256,4,0.25,64,4,#N/A,32,0.5
SRR3101892,32,16,0.25,#N/A,4,0.03,0.12,64,2,0.5,#N/A,4,64,32,1
SRR3664739,32,32,8,4,4,0.015,0.12,256,32,0.25,8,4,#N/A,32,8
SRR2017863,1,1,0.25,#N/A,4,0.01,0.12,16,1,0.25,#N/A,2,#N/A,32,0.5
SRR3665210,32,32,32,4,8,0.015,0.12,16,32,0.5,64,4,64,32,8
SRR2062215,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,4,64,32,1
SRR2566859,32,32,16,2,4,0.015,0.12,32,32,0.5,8,2,64,32,8
SRR3295807,1,1,0.25,4,8,0.015,0.125,128,2,1,#N/A,2,16,32,0.5
SRR3098656,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR1562598,1,1,0.25,#N/A,4,0.01,0.12,#N/A,2,16,#N/A,4,64,32,0.5
SRR1448884,32,32,32,#N/A,8,0.03,0.12,#N/A,16,0.5,#N/A,4,#N/A,4,8
SRR2566963,1,1,0.25,2,4,0.015,0.12,256,4,0.5,8,4,64,32,1
SRR3289795,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,4,64,32,1
SRR3665217,32,32,32,4,8,0.015,0.12,32,32,0.5,8,2,#N/A,32,8
SRR3664897,1,1,0.25,4,4,0.015,0.12,256,2,0.25,8,4,#N/A,32,1
SRR3116197,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR1528488,1,1,0.25,#N/A,8,0.01,0.12,32,1,0.5,#N/A,4,#N/A,4,0.5
SRR1574316,32,32,16,#N/A,4,0.01,0.12,64,32,0.25,#N/A,2,64,32,8
SRR1185819,1,1,0.25,#N/A,4,0.01,0.12,#N/A,2,0.25,#N/A,4,#N/A,4,0.5
SRR2911790,1,1,0.25,#N/A,8,0.01,0.12,16,2,0.5,#N/A,2,#N/A,4,1
SRR3143811,1,1,0.5,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,1
SRR1556965,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR3509857,32,32,32,#N/A,4,0.01,0.12,256,32,16,#N/A,2,64,32,8
SRR3223756,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,2,64,32,1
SRR3173693,32,32,16,#N/A,8,0.01,0.12,64,32,0.25,#N/A,4,64,32,8
SRR2989207,1,1,0.25,8,8,0.015,0.125,64,4,0.25,#N/A,4,16,32,1
SRR2566992,1,1,0.25,4,8,0.03,0.12,16,2,0.5,8,4,#N/A,4,1
SRR2962366,32,8,0.25,#N/A,8,0.01,0.25,32,2,0.5,#N/A,4,64,32,1
SRR3147926,32,32,16,#N/A,8,0.01,0.12,256,32,16,#N/A,4,64,4,8
SRR2567159,1,1,0.25,4,8,0.015,0.12,16,4,0.25,8,2,#N/A,4,1
SRR2566979,1,1,0.25,8,8,0.03,0.12,64,4,0.5,8,4,#N/A,4,1
SRR1334376,1,1,0.25,#N/A,4,0.01,0.12,64,1,8,#N/A,2,#N/A,4,0.5
SRR1849412,1,2,0.25,#N/A,4,0.01,0.12,64,4,0.5,#N/A,2,64,32,1
SRR1777670,1,1,0.25,#N/A,8,0.01,0.12,32,1,0.25,#N/A,4,#N/A,32,0.5
SRR3932894,32,32,8,2,4,0.015,0.12,256,32,0.25,#N/A,4,4,32,8
SRR3665276,1,1,0.25,4,4,0.015,0.12,16,2,0.5,8,2,64,32,0.5
SRR2070980,1,1,0.25,#N/A,8,0.01,0.25,256,4,0.5,#N/A,4,64,32,1
SRR1783200,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,32,1
SRR3665272,2,1,0.25,4,8,0.03,0.12,32,4,0.25,#N/A,4,2,4,1
SRR1556078,1,1,0.25,#N/A,4,0.01,0.12,16,4,0.25,#N/A,4,#N/A,32,1
SRR1793264,1,1,0.25,#N/A,4,0.01,0.12,64,4,0.25,#N/A,2,64,32,1
SRR3932978,1,1,0.25,4,8,0.03,0.12,256,4,0.5,#N/A,4,64,32,1
SRR2054610,1,2,0.25,#N/A,8,0.01,0.25,16,2,0.5,#N/A,2,64,32,0.5
SRR2566886,1,1,0.25,4,8,0.015,0.12,16,2,0.5,8,2,64,32,1
SRR2583959,32,8,0.25,#N/A,8,0.01,0.25,256,2,16,#N/A,2,#N/A,4,1
SRR1820098,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,4,#N/A,32,1
SRR3151792,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,2
SRR3665206,1,1,0.25,4,4,0.03,0.12,32,4,0.25,8,4,#N/A,4,1
SRR1562638,1,1,0.25,#N/A,8,0.01,0.12,64,8,0.25,#N/A,4,#N/A,4,1
SRR3665286,32,32,32,4,4,0.015,0.12,256,32,0.25,8,4,#N/A,32,8
SRR3665161,32,16,0.25,8,8,0.015,0.12,64,2,16,16,4,64,32,1
SRR3490009,1,1,0.25,#N/A,4,0.01,0.12,256,2,0.25,#N/A,2,#N/A,32,0.5
SRR2188124,2,1,0.25,2,8,0.03,0.125,64,2,0.5,#N/A,4,4,4,1
SRR2939123,2,2,0.25,#N/A,8,0.01,0.25,256,2,0.25,#N/A,4,#N/A,32,0.5
SRR3295754,1,1,0.25,2,8,0.015,0.125,256,2,0.25,#N/A,4,4,32,1
SRR3295536,1,1,0.25,2,2,0.015,0.12,256,2,16,#N/A,4,64,4,0.5
SRR3295593,1,1,0.25,4,8,0.015,0.12,32,2,0.5,#N/A,2,64,32,0.5
SRR3664743,1,1,0.25,4,8,0.015,0.12,32,4,0.5,8,4,#N/A,32,1
SRR1783179,32,16,0.25,#N/A,4,0.03,0.12,64,4,16,#N/A,4,#N/A,4,1
SRR3664845,1,1,0.25,2,2,0.015,0.12,32,2,0.5,8,4,64,4,0.5
SRR2982338,1,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR1576018,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR1574281,4,2,0.25,#N/A,16,0.06,0.25,256,4,16,#N/A,8,64,32,2
SRR1793269,1,1,0.25,#N/A,8,0.01,0.12,32,4,0.25,#N/A,4,#N/A,4,1
SRR3191438,32,16,0.25,#N/A,8,0.03,0.12,128,2,0.5,#N/A,4,#N/A,32,2
SRR1752721,32,16,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,#N/A,4,1
SRR1544198,32,32,16,#N/A,4,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR3664676,1,1,0.25,4,4,0.015,0.12,16,2,1,8,4,#N/A,4,0.5
SRR1528531,1,1,0.25,#N/A,8,0.01,0.12,64,1,0.25,#N/A,4,#N/A,4,0.5
SRR2532631,1,1,0.25,#N/A,8,0.01,0.12,256,4,16,#N/A,2,64,4,1
SRR1299421,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,8,#N/A,32,1
SRR2017850,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR2724060,2,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,4,0.5
SRR3295608,1,1,0.25,4,8,0.015,0.12,64,2,0.5,#N/A,2,64,32,1
SRR1951875,1,1,0.25,#N/A,4,0.01,0.12,64,4,0.5,#N/A,4,#N/A,32,1
SRR2407706,1,1,0.25,4,8,0.03,0.12,32,4,0.5,#N/A,2,8,4,1
SRR3294539,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR3933003,32,32,4,4,8,0.015,0.12,16,16,0.5,#N/A,4,16,4,8
SRR1637058,1,1,0.25,#N/A,4,0.01,0.12,#N/A,2,1,#N/A,4,64,32,1
SRR2407624,2,1,0.25,4,8,0.03,0.12,32,4,0.25,#N/A,4,2,4,2
SRR1544433,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,4,#N/A,16,0.5
SRR1813429,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR1588666,1,1,0.25,#N/A,8,0.03,0.12,32,2,0.5,#N/A,4,#N/A,4,0.5
SRR1185781,1,1,0.25,#N/A,8,0.03,0.12,#N/A,4,0.25,#N/A,4,#N/A,32,1
SRR3031870,1,1,0.25,2,8,0.015,0.125,16,2,0.25,#N/A,2,32,32,0.5
SRR3295961,1,1,0.25,8,8,0.015,0.25,256,4,0.5,#N/A,4,64,32,1
SRR3664803,2,2,0.25,4,4,0.015,0.12,16,2,1,8,4,64,4,1
SRR3295561,1,1,0.25,4,4,0.015,0.12,32,2,0.5,#N/A,2,64,32,0.5
SRR3173562,1,1,0.25,#N/A,8,0.03,0.12,16,2,0.5,#N/A,4,#N/A,4,1
SRR4280619,1,1,0.25,4,8,0.015,0.12,32,4,0.25,#N/A,2,64,32,0.5
SRR3110473,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,0.5
SRR1752900,32,32,16,#N/A,4,0.01,0.25,#N/A,16,0.25,#N/A,2,#N/A,32,8
SRR1946937,1,1,0.25,#N/A,4,0.01,0.12,128,2,0.5,#N/A,4,64,32,1
SRR2918190,4,2,0.25,#N/A,8,0.03,0.12,32,2,0.5,#N/A,4,#N/A,4,1
SRR2982348,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,#N/A,32,1
SRR3295845,1,1,0.25,2,4,0.015,0.125,64,2,0.5,#N/A,4,64,4,0.5
SRR3098276,1,1,0.25,2,4,0.015,0.125,256,4,0.25,#N/A,2,64,32,1
SRR4280602,1,1,0.25,2,4,0.015,0.12,32,2,0.25,#N/A,2,4,4,1
SRR3031826,1,1,0.25,4,4,0.015,0.125,64,2,0.25,#N/A,4,32,8,0.5
SRR2567129,2,1,0.25,4,8,0.03,0.12,32,4,0.25,8,4,#N/A,4,1
SRR3289769,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,#N/A,32,1
SRR1528535,2,1,0.25,#N/A,8,0.01,0.12,64,8,0.25,#N/A,4,#N/A,32,1
SRR1556074,2,1,0.25,#N/A,8,0.01,0.12,16,2,0.5,#N/A,8,#N/A,4,1
SRR2989567,1,1,0.25,4,8,0.015,0.125,64,4,0.5,#N/A,4,32,4,1
SRR3295804,1,1,0.25,4,8,0.015,0.125,256,4,0.5,#N/A,4,16,32,0.5
SRR1951868,1,1,0.25,#N/A,8,0.01,0.25,256,4,0.5,#N/A,4,#N/A,32,2
SRR3223156,1,1,0.25,#N/A,4,0.01,0.12,16,1,0.5,#N/A,4,#N/A,4,0.5
SRR1525270,2,2,0.25,#N/A,4,0.01,0.12,#N/A,4,0.5,#N/A,4,64,32,1
